author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Georg Rainer Hofmann,Naturalismus in der Computergraphik.,Null,1992,1-136,https://d-nb.info/920349374,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-55265-9,Null,Null,Null
Werner Sinzig,Datenbankorientiertes Rechnungswesen: Grundzüge einer EDV-gestützten Realisierung der Einzelkosten- und Deckungsbeitragsrechnung.,"Goethe University Frankfurt, Germany",1990,1-320,https://d-nb.info/900422114,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-51786-3,Null,Null,Null
Ralf Gutsche,Fahrerlose Transportsysteme: automatische Bahnplanung in dynamischen Umgebungen.,Null,1994,1-206,https://d-nb.info/942327977,Vieweg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-528-06658-1,Null,Null,Null
Andreas Diener,An architecture for distributed databases on workstations.,Null,1987,1-123,https://d-nb.info/870741942,"ETH Zurich, Zürich, Verlag der Fachvereine, Switzerland",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-7281-1509-6,Null,Null,Null
Jörg M. Haake,Autorensysteme für die kooperative Erstellung von Hyperdokumenten.,Null,1997,1-242,https://d-nb.info/94988653X,Oldenbourg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-486-24265-2,Null,Null,Null
Simone Pribbenow,Räumliche Konzepte in Wissens- und Sprachverarbeitung: hybride Verarbeitung von Lokalisierung.,Null,1993,1-282,https://d-nb.info/930731808,Dt. Univ.-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8244-2042-1,Null,Null,Null
Rainer Siebenhaar,"Verkehrslenkung und Kapazitätsanpassung in ATM-Netzen mit virtuellen Pfaden, 2. unveränderte Auflage.",Null,2019,1-160,https://d-nb.info/1195724608,Utz,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8316-8378-9,Null,Null,Null
Thomas Köhler,Das Selbst im Netz: die Konstruktion sozialer Identität in der computervermittelten Kommunikation.,Null,2003,1-232,https://d-nb.info/967071402,Westdt. Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-531-14026-1,Null,Null,Null
Angelika Glöckner-Rist,Suchfragen im Information-Retrieval: eine empirische Untersuchung zum Rechercheverhalten von Informationsvermittlern und Endnutzern.,Null,1993,1-287,https://d-nb.info/930101758,Univ.-Verl. Konstanz,Null,Null,Null,8,Null,Null,Null,Null,Null,Null,Null,Null,978-3-87940-453-7,Schriften zur Informationswissenschaft,Null,Null
Heike Stach,Zwischen Organismus und Notation: zur kulturellen Konstruktion des Computer-Programms.,Null,2001,1-239,https://d-nb.info/960448683,DUV,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8244-4433-5,Null,Null,Null
